['公司的力量', '8.6', '3558', '2010-08-23']
['书记', '8.6', '3300', '2009-03-28(中国大陆)']
['科伦拜校园事件 Bowling for Columbine', '8.6', '3946', '2002-05-15']
['设计面面观 Objectified', '8.6', '3344', '2009-03-14']
['超级工程', '8.6', '3246', '2012-09-24(中国大陆)']
['食品公司 Food, Inc.', '8.6', '26151', '2009-06-12']
['黑鲸 Blackfish', '8.6', '3901', '2013-07-19(美国)']
['永生不死：英伦摇滚的沉浮 Live Forever: The Rise and Fall of Brit Pop', '8.6', '5202', '2003-03-07']
['虞美人盛开的山坡·父与子300天的战争 ふたり／コクリコ坂・父と子の300日戦争~宮崎駿×宮崎吾朗~', '8.6', '5003', '2011-08-09(日本)']
['曼联重生 United', '8.6', '6355', '2011-04-24(英国)']
