['恋恋风尘 戀戀風塵', '8.5', '34218', '1987-09-13(多伦多电影节)']
['少年时代 Boyhood', '8.5', '128982', '2014-01-19(圣丹斯电影节)']
['万箭穿心', '8.5', '73827', '2012-11-16(中国大陆)']
['细路祥 細路祥', '8.5', '8517', '1999-12-30(香港)']
['流星语 流星語', '8.5', '7087', '1999-10-14']
['世界上最疼我的那个人去了', '8.5', '9112', '2002-08']
['与青春有关的日子', '8.4', '16723', '2006-03-27(中国大陆)']
['荒岛余生 Cast Away', '8.4', '121360', '2000-12-22(美国)']
['单身男子 A Single Man', '8.4', '64304', '2009-12-11']
['打工仔的梦想房 フリーター、家を買う。', '8.4', '17002', '2010-10-19(日本)']
['盖章 Validation', '8.4', '7562', '2007']
['冬冬的假期', '8.4', '8412', '1984']
['大河恋 A River Runs Through It', '8.4', '43236', '1992-09-13']
['周围的事 ぐるりのこと。', '8.4', '6106', '2008-06-07']
['盗钥匙的方法 鍵泥棒のメソッド', '8.4', '69450', '2012-06-17(上海国际电影节)']
['美国丽人 American Beauty', '8.4', '171001', '1999-09-08(洛杉矶首映)']
['那山那人那狗', '8.4', '43602', '1999(中国大陆)']
['喜福会 The Joy Luck Club', '8.4', '19731', '1993-09-08']
['第八日 Le huitième jour', '8.4', '5994', '1996-05-22']
['归途列车', '8.4', '9548', '2010-09-03(中国大陆)']
['紫色 The Color Purple', '8.4', '9633', '1985-12-18(美国)']
['老爸老妈的浪漫史 第九季 How I Met Your Mother Season 9', '8.4', '14795', '2013-09-23(美国)']
['艾草', '8.4', '5049', '2008-06-08(台湾)']
['癫佬正传 癲佬正傳', '8.4', '6764', '1986-06-05(香港)']
['屋顶上的童年时光 Anche libero va bene', '8.4', '6194', '2006-05-05']
['弗兰西丝·哈 Frances Ha', '8.4', '17790', '2012-09-01(特柳赖德电影节)']
['推手', '8.4', '59324', '1991-12-07(金马影展)']
['北京人在纽约', '8.3', '20479', '1993-09-26']
['地球之夜 Night on Earth', '8.3', '10730', '1991-12-12']
['如父如子 そして父になる', '8.3', '47500', '2013-09-28(日本)']
['更好的世界 Hævnen', '8.3', '19064', '2010-08-26(丹麦)']
["秋天的故事 Conte d'automne", '8.3', '6627', '1998-09-16']
['每个孩子 Every Child', '8.3', '12687', 'none']
['顽主', '8.3', '36518', '1989-09-15(多伦多电影节)']
['手机', '8.3', '11792', '2010-05-10(中国大陆)']
["巴黎，我爱你 Paris, je t'aime", '8.3', '117572', '2006-05-18(戛纳电影节)']
['妈妈再爱我一次 媽媽再愛我一次', '8.3', '33379', '1990-09(中国大陆)']
['在世界转角遇见爱 Светът е голям и спасение дебне отвсякъде', '8.3', '12422', '2008-10-10']
['诗 시', '8.3', '14051', '2010-05-13(韩国)']
['曾经 Once', '8.3', '191591', '2006-07-15']
['摔角王 The Wrestler', '8.3', '31036', '2008-12-17']
['新不了情', '8.3', '39058', '1993-11-11(香港)']
['恋恋三季 Three Seasons', '8.3', '7854', '1999-04-30']
['在人生的另一边 Auf der anderen Seite', '8.3', '5486', '2007-09-27']
['铁道员 鉄道員', '8.3', '5802', '1999-06-05']
["真爱满行囊 Je m'appelle Elisabeth", '8.3', '7308', '2006-11-15']
['朱丽叶与梁山伯', '8.3', '13277', '2000-03-02']
['大红灯笼高高挂', '8.3', '89744', '1991-09-10(威尼斯电影节/多伦多电影节)']
['钢的琴', '8.3', '162695', '2011-07-15(中国大陆)']
['过把瘾', '8.3', '9765', '1994']
['爷爷的煤油灯 おぢいさんのランプ', '8.3', '5531', '2011-03-05(日本)']
['搭错车', '8.3', '7394', '1983']
['白日梦想家 The Secret Life of Walter Mitty', '8.3', '134286', '2013-12-25(美国)']
['头朝下的生活 Head Over Heels', '8.3', '14852', '2012-05-24(戛纳电影节)']
['她 Her', '8.3', '209803', '2013-10-12(纽约电影节)']
['黑暗中的舞者 Dancer in the Dark', '8.3', '62440', '2000-09-08']
['风柜来的人 風櫃來的人', '8.3', '16223', '1983(台湾)']
['永不妥协 Erin Brockovich', '8.3', '42710', '2000-03-17']
['不能没有你', '8.3', '28373', '2009-08-14']
['印式英语 English Vinglish', '8.3', '12284', '2012-10-05(印度)']
["巴尼的人生 Barney's Version", '8.3', '7835', '2010-12-24(加拿大)']
['ćľˇé¸ĽéŁ\x9fĺ\xa0\x82 ă\x81\x8bă\x82\x82ă\x82\x81éŁ\x9fĺ\xa0\x82', '8.3', '38971', '2006-03-11(ć\x97Ľć\x9cŹ)']
['幻之光 幻の光', '8.3', '5729', '1995-12-09(日本)']
['南家三姐妹 みなみけ', '8.3', '8041', '2007-10-07(日本)']
['午夜牛郎 Midnight Cowboy', '8.3', '12875', '1969-05-25(纽约首映)']
['心房客 Asphalte', '8.3', '14445', '2015-10-07(法国)']
['百元之恋 百円の恋', '8.3', '64599', '2014-12-20(日本)']
['小武', '8.3', '52851', '1998-02-18(柏林电影节)']
['金氏漂流记 김씨 표류기', '8.3', '30200', '2009-05-14(韩国)']
['爱情公寓2', '8.2', '60400', '2011-01-24(中国大陆)']
['盲山', '8.2', '58515', '2007-05-20(戛纳电影节)']
['为黛西小姐开车 Driving Miss Daisy', '8.2', '18138', '1989-12-13']
['爱情是狗娘 Amores perros', '8.2', '32129', '2000-06-16(墨西哥)']
['某人的目光 だれかのまなざし', '8.2', '10285', '2013-05-31(日本)']
['小小的白色谎言 Les petits mouchoirs', '8.2', '12236', '2010-10-20(法国)']
['桃姐', '8.2', '184551', '2012-03-08(中国大陆)']
['杀戮 Carnage', '8.2', '38071', '2011-09-01(威尼斯电影节)']
['裸体哈维闯人生 Harvie Krumpet', '8.2', '5442', '2003-10-26']
['甲方乙方', '8.2', '127440', '1997-12-24(中国大陆)']
['本命年', '8.2', '13334', '1990-04-14(中国大陆)']
['灵魂冲浪人 Soul Surfer', '8.2', '10711', '2011-04-08(美国)']
['男孩A Boy A', '8.2', '20391', '2007-09-08(多伦多电影节)']
['分屏：一个爱情故事 Splitscreen: A Love Story', '8.2', '12754', '2011']
['永远的莉莉亚 Lilya 4-ever', '8.2', '5632', '2004-08-15']
['洗澡', '8.2', '32903', '2001-02-01']
['李春天的春天', '8.2', '8601', '2011-07-20(中国大陆)']
['爸...你好吗？ 爸... 你好嗎？', '8.2', '7150', '2009-07-31']
['阳光小美女 Little Miss Sunshine', '8.2', '151253', '2006-08-18(美国)']
['站台', '8.2', '30136', '2000-09-04(威尼斯电影节)']
['他们生活的世界 그들이 사는 세상', '8.2', '28556', '2008-10-27(韩国)']
['梅奇知道什么 What Maisie Knew', '8.2', '8359', '2012-09-07(多伦多电影节)']
['穿越美国 Transamerica', '8.2', '8572', '2005-12-23']
['红高粱', '8.2', '87984', '1987(中国大陆)']
['谈谈情跳跳舞 Shall we ダンス?', '8.2', '8650', '1996-01-27(日本)']
['家，N次方', '8.2', '27504', '2011-03-11(中国大陆)']
['木兰花 Magnolia', '8.2', '18294', '1999-12-08']
["永远的三丁目的夕阳之1964 Always 三丁目の夕日'64", '8.2', '8956', '2012-01-21(日本)']
['金婚', '8.2', '20661', '2007-09-13(中国大陆)']
['我的家里空无一物 わたしのウチには、なんにもない。', '8.2', '10377', '2016-02-06(日本)']
['媳妇的美好时代', '8.2', '17545', '2009-11-26(中国大陆)']
['午夜巴黎 Midnight in Paris', '8.2', '164250', '2011-05-13(西班牙)']
["将来的事 L'avenir", '8.2', '15723', '2016-02-13(柏林电影节)']
['更好的生活 A Better Life', '8.2', '7290', '2011-06-24(美国)']
['年轻气盛 Youth', '8.2', '55814', '2015-05-20(戛纳电影节/意大利)']
['黄色的眼泪 黄色い涙', '8.2', '6806', '2007-04-14(日本)']
['超市夜未眠(短片) Cashback', '8.1', '14841', '2004-10-10(芝加哥电影节)']
['幸福来敲门', '8.1', '7453', '2011-02-20(中国大陆)']
['我是布莱克 I, Daniel Blake', '8.1', '9768', '2016-05-13(戛纳电影节)']
['绿光 Le rayon vert', '8.1', '5257', '1986-08-29']
["欢迎来北方 Bienvenue chez les Ch'tis", '8.1', '19596', '2008-02-27']
['火柴人 Matchstick Men', '8.1', '80112', '2003-09-12(美国)']
['让爱传出去 Pay It Forward', '8.1', '5298', '2000-10-20']
['妈咪 Mommy', '8.1', '15643', '2014-05-22(戛纳电影节)']
['人生不再重来 Zindagi Na Milegi Dobara', '8.1', '8648', '2011-07-15(印度)']
['小小的家 小さいおうち', '8.1', '10350', '2014-01-25(日本)']
['布拉格之恋 The Unbearable Lightness of Being', '8.1', '45813', '1988-02-05']
['ĺšłĺ\x87Ąç\x9a\x84ä¸\x96ç\x95\x8c', '8.1', '13579', '2015-02-26(ä¸\xadĺ\x9b˝ĺ¤§é\x99\x86)']
['香港制造', '8.1', '23717', '1997-10-09']
['薄荷糖 박하사탕', '8.1', '15050', '1999-10-14(釜山电影节)']
['珍爱 Precious', '8.1', '31193', '2009-11-06']
['贫嘴张大民的幸福生活', '8.1', '11112', '2000-02-15(中国大陆)']
['疯狂店员 Clerks', '8.1', '14925', '1994-10-19']
['成年女性的动画时间：滑过河面的风 大人女子のアニメタイム 川面を滑る風', '8.1', '5831', '2011-01-06(日本)']
['马语者 The Horse Whisperer', '8.1', '12377', '1998-05-15']
['好想好想谈恋爱', '8.1', '16976', '2004-11-08(中国大陆)']
['夏威夷男孩 ホノカアボーイ', '8.1', '10168', '2009-03-14']
['附注：我爱你 P.S. I Love You', '8.1', '107280', '2007-12-20(荷兰)']
['弟弟 おとうと', '8.1', '8045', '2010-01-30']
['蛇蝎女佣 第二季 Devious Maids Season 2', '8.1', '9405', '2014-04-20']
['大男当婚', '8.1', '13313', '2012-04-29(中国大陆)']
['汉娜姐妹 Hannah and Her Sisters', '8.1', '5627', '1986-02-07']
['回归 Volver', '8.1', '24958', '2006-03-17(西班牙)']
['金鸡', '8.1', '42599', '2002-12-26(香港)']
['独自等待', '8.1', '137996', '2005-09-08(中国大陆)']
['七磅 Seven Pounds', '8.1', '88599', '2008-12-19']
['四月三周两天 4 luni, 3 săptămâni și 2 zile', '8.1', '16882', '2007-05-17(戛纳电影节)']
['罗塞塔 Rosetta', '8.1', '5562', '1999-09-22']
["蒂凡尼的早餐 Breakfast at Tiffany's", '8.1', '114700', '1961-10-05']
['葬礼上的死亡 Death at a Funeral', '8.1', '53648', '2007-07-19(德国)']
['尽善尽美 As Good as It Gets', '8.1', '13300', '1997-12-25']
['光棍儿', '8.1', '22937', '2011-12-14(中国大陆)']
['绝美之城 La grande Bellezza', '8.1', '19007', '2013-05-21(戛纳电影节/意大利)']
['不结婚 結婚しない', '8.1', '29789', '2012-10-11(日本)']
['家族之苦 家族はつらいよ', '8.1', '18454', '2016-03-12(日本)']
['托斯卡纳艳阳下 Under the Tuscan Sun', '8.1', '29707', '2003-09-26(美国)']
['断线 Disconnect', '8.1', '14823', '2012-09(威尼斯电影节)']
['离开拉斯维加斯 Leaving Las Vegas', '8.1', '22392', '1995-10-27']
['周末时光 Weekend', '8.1', '17964', '2011-11-04(英国)']
['东京奏鸣曲 トウキョウソナタ', '8.1', '14588', '2008-09-27(日本)']
['蕾蒙娜和姐姐 Ramona and Beezus', '8.1', '16635', '2010-07-23(美国)']
['小妇人 Little Women', '8.0', '9056', '1994-12-21']
['与女人们的对话 Conversations with Other Women', '8.0', '9931', '2005-09-02']
['遗忘 遺忘', '8.0', '10233', '2012-04']
['冬眠 Kış Uykusu', '8.0', '12416', '2014-05-16(戛纳电影节)']
['时光驻留 Le temps qui reste', '8.0', '10550', '2005-12-08']
['眼镜 めがね', '8.0', '6349', '2007-09-22']
['丈夫得了抑郁症 ツレがうつになりまして。', '8.0', '37691', '2011-10-08(日本)']
['去年烟花特别多', '8.0', '8224', '1998-12-31']
['十二夜', '8.0', '37231', '2000-04-20(香港)']
['男孩们回来了 The Boys Are Back', '8.0', '6128', '2009-09-25']
['8英里 8 Mile', '8.0', '40843', '2002-11-08(美国)']
['ĺą\x85ĺŽśç\x94ˇäşş The Family Man', '8.0', '30591', '2000-12-22']
['真幌站前多田便利屋 まほろ駅前多田便利軒', '8.0', '17604', '2011-04-23(日本)']
['立春', '8.0', '64601', '2008-04-10(中国大陆)']
['ćż\x80ć\x83\x85ç\x87\x83ç\x83§ç\x9a\x84ĺ˛\x81ć\x9c\x88', '8.0', '20089', '2001-10-08(ä¸\xadĺ\x9b˝ĺ¤§é\x99\x86)']
['新结婚时代', '8.0', '16658', '2006-12-19(中国大陆)']
